Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 19:07:07.628,vllm-server,0.00%,6.97%,107.2MiB,1007GiB,0.01%,12.95GiB,1007GiB,1.28%,316B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:07.889,vllm-server,75.27%,4.00%,182.2MiB,1007GiB,0.02%,13.11GiB,1007GiB,1.30%,316B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:08.084,vllm-server,2791.39%,30.73%,211.3MiB,1007GiB,0.02%,13.15GiB,1007GiB,1.30%,316B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:08.286,vllm-server,82.99%,16.20%,231.8MiB,1007GiB,0.02%,13.18GiB,1007GiB,1.31%,516B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:08.461,vllm-server,98.37%,3.67%,251.5MiB,1007GiB,0.02%,13.22GiB,1007GiB,1.31%,602B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:08.631,vllm-server,103.15%,2.67%,265.3MiB,1007GiB,0.03%,13.23GiB,1007GiB,1.31%,676B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:08.808,vllm-server,99.73%,3.90%,275MiB,1007GiB,0.03%,13.25GiB,1007GiB,1.32%,676B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:08.985,vllm-server,99.50%,3.73%,294.7MiB,1007GiB,0.03%,13.28GiB,1007GiB,1.32%,676B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:09.161,vllm-server,108.80%,3.03%,302.4MiB,1007GiB,0.03%,13.3GiB,1007GiB,1.32%,676B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:09.351,vllm-server,101.18%,2.90%,305.8MiB,1007GiB,0.03%,13.31GiB,1007GiB,1.32%,676B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:09.545,vllm-server,90.60%,2.90%,312.4MiB,1007GiB,0.03%,13.31GiB,1007GiB,1.32%,836B,276B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:09.721,vllm-server,113.65%,3.28%,318.6MiB,1007GiB,0.03%,13.31GiB,1007GiB,1.32%,1000B,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:09.922,vllm-server,95.35%,3.74%,330.5MiB,1007GiB,0.03%,13.31GiB,1007GiB,1.32%,1000B,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:10.113,vllm-server,100.74%,2.87%,332.5MiB,1007GiB,0.03%,13.32GiB,1007GiB,1.32%,1000B,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:10.304,vllm-server,100.17%,2.95%,335.9MiB,1007GiB,0.03%,13.32GiB,1007GiB,1.32%,1000B,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:10.498,vllm-server,90.69%,2.59%,341.1MiB,1007GiB,0.03%,13.34GiB,1007GiB,1.32%,1000B,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
