Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 14:39:10.484,vllm-server,0.00%,6.40%,118.5MiB,1007GiB,0.01%,12.8GiB,1007GiB,1.27%,316B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:10.723,vllm-server,72.07%,3.03%,179.5MiB,1007GiB,0.02%,12.98GiB,1007GiB,1.29%,316B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:10.897,vllm-server,3144.67%,32.53%,211.3MiB,1007GiB,0.02%,13.02GiB,1007GiB,1.29%,402B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:11.114,vllm-server,81.19%,16.94%,233.3MiB,1007GiB,0.02%,13.05GiB,1007GiB,1.30%,488B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:11.289,vllm-server,98.07%,2.95%,253MiB,1007GiB,0.02%,13.07GiB,1007GiB,1.30%,578B,138B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:11.461,vllm-server,144.06%,2.73%,269.7MiB,1007GiB,0.03%,13.06GiB,1007GiB,1.30%,762B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:11.708,vllm-server,95.52%,2.92%,288MiB,1007GiB,0.03%,13.1GiB,1007GiB,1.30%,762B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:11.944,vllm-server,74.37%,3.77%,303.9MiB,1007GiB,0.03%,13.13GiB,1007GiB,1.30%,922B,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:12.122,vllm-server,110.70%,3.35%,307.2MiB,1007GiB,0.03%,13.13GiB,1007GiB,1.30%,1.008kB,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:12.316,vllm-server,98.61%,2.82%,312.5MiB,1007GiB,0.03%,13.13GiB,1007GiB,1.30%,1.008kB,234B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:12.509,vllm-server,120.37%,3.22%,319.5MiB,1007GiB,0.03%,13.14GiB,1007GiB,1.30%,1.08kB,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:12.742,vllm-server,83.87%,2.82%,331.2MiB,1007GiB,0.03%,13.14GiB,1007GiB,1.30%,1.168kB,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:12.942,vllm-server,102.19%,3.35%,333.5MiB,1007GiB,0.03%,13.15GiB,1007GiB,1.31%,1.275kB,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:13.140,vllm-server,86.38%,2.68%,336.5MiB,1007GiB,0.03%,13.16GiB,1007GiB,1.31%,1.275kB,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:13.312,vllm-server,100.18%,2.93%,342.2MiB,1007GiB,0.03%,13.16GiB,1007GiB,1.31%,1.275kB,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:13.480,vllm-server,99.53%,6.79%,346.3MiB,1007GiB,0.03%,13.15GiB,1007GiB,1.31%,1.275kB,330B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:13.654,vllm-server,127.35%,3.35%,360.6MiB,1007GiB,0.03%,13.13GiB,1007GiB,1.30%,1.348kB,384B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:13.873,vllm-server,80.09%,2.91%,366.7MiB,1007GiB,0.04%,13.13GiB,1007GiB,1.30%,1.348kB,384B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:14.049,vllm-server,111.24%,2.84%,369.4MiB,1007GiB,0.04%,13.14GiB,1007GiB,1.30%,1.348kB,384B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:14.245,vllm-server,101.60%,2.56%,374.7MiB,1007GiB,0.04%,13.14GiB,1007GiB,1.30%,1.348kB,384B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:14.441,vllm-server,120.63%,3.05%,380.6MiB,1007GiB,0.04%,13.15GiB,1007GiB,1.30%,1.348kB,384B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:14.682,vllm-server,91.24%,3.31%,391.4MiB,1007GiB,0.04%,13.17GiB,1007GiB,1.31%,1.42kB,438B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:14.898,vllm-server,90.70%,2.77%,403.5MiB,1007GiB,0.04%,13.18GiB,1007GiB,1.31%,1.42kB,438B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:15.096,vllm-server,86.85%,2.68%,407.1MiB,1007GiB,0.04%,13.18GiB,1007GiB,1.31%,1.42kB,438B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:15.271,vllm-server,100.57%,2.61%,410.5MiB,1007GiB,0.04%,13.19GiB,1007GiB,1.31%,1.42kB,438B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:15.443,vllm-server,90.24%,2.81%,428.1MiB,1007GiB,0.04%,13.23GiB,1007GiB,1.31%,1.42kB,438B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:15.656,vllm-server,92.11%,2.64%,445MiB,1007GiB,0.04%,13.23GiB,1007GiB,1.31%,1.533kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:15.853,vllm-server,99.22%,2.86%,448.2MiB,1007GiB,0.04%,13.23GiB,1007GiB,1.31%,1.533kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.051,vllm-server,100.61%,6.48%,450.4MiB,1007GiB,0.04%,13.22GiB,1007GiB,1.31%,1.602kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.250,vllm-server,88.91%,3.48%,456MiB,1007GiB,0.04%,13.22GiB,1007GiB,1.31%,1.602kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.428,vllm-server,111.87%,2.80%,465.5MiB,1007GiB,0.05%,13.21GiB,1007GiB,1.31%,1.602kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.625,vllm-server,99.44%,2.47%,470.4MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.824,vllm-server,100.58%,3.16%,473.6MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.022,vllm-server,111.36%,2.85%,478.3MiB,1007GiB,0.05%,13.21GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.241,vllm-server,100.06%,3.49%,479.1MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.456,vllm-server,88.87%,3.28%,482.9MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.652,vllm-server,98.23%,2.57%,487.8MiB,1007GiB,0.05%,13.24GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.848,vllm-server,91.75%,3.50%,501.5MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.026,vllm-server,125.62%,3.33%,503.6MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.249,vllm-server,87.99%,2.46%,509.8MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.448,vllm-server,90.23%,2.60%,514.6MiB,1007GiB,0.05%,13.25GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.628,vllm-server,119.81%,2.88%,526.9MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.842,vllm-server,91.53%,2.93%,533.5MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.040,vllm-server,1829.81%,11.58%,552.7MiB,1007GiB,0.05%,13.29GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.225,vllm-server,115.89%,22.67%,557.1MiB,1007GiB,0.05%,13.32GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.401,vllm-server,124.56%,3.10%,563MiB,1007GiB,0.05%,13.32GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.622,vllm-server,81.75%,3.05%,563.8MiB,1007GiB,0.05%,13.31GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.797,vllm-server,111.27%,4.28%,568.2MiB,1007GiB,0.06%,13.32GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.994,vllm-server,89.30%,3.64%,577.4MiB,1007GiB,0.06%,13.33GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.168,vllm-server,111.04%,2.69%,586.5MiB,1007GiB,0.06%,13.33GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.365,vllm-server,100.79%,2.63%,593.2MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.564,vllm-server,87.37%,2.44%,594.9MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.33%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.765,vllm-server,97.77%,2.66%,603.2MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.961,vllm-server,101.42%,3.65%,610.2MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.158,vllm-server,101.52%,2.63%,619.6MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.349,vllm-server,87.83%,2.87%,627.3MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.528,vllm-server,111.52%,2.80%,633.3MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.734,vllm-server,100.98%,2.82%,633.7MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.937,vllm-server,20.86%,2.24%,634.1MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.32%,9.731kB,3.331kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:22.133,vllm-server,3.67%,1.20%,634.5MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,20.41kB,5.928kB,0B,0B,1,0.00%,0B,80GiB,0.00%
